"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47661-5202","P","Justin","Justin Verlander","Verlander","43","1","11200","HOU@ARI","HOU","ARI","IL","Forearm","","",""
"47661-5481","P","Max","Max Scherzer","Scherzer","46.5","2","11000","NYM@WAS","WAS","NYM","","","","Yes",""
"47661-13664","P","Patrick","Patrick Corbin","Corbin","44","1","10800","NYM@WAS","WAS","NYM","","","","",""
"47661-52859","P","Jacob","Jacob deGrom","deGrom","39.666666666666664","3","10700","NYM@WAS","NYM","WAS","","","","",""
"47661-5427","P","Clayton","Clayton Kershaw","Kershaw","41","1","10100","LOS@SDP","LOS","SDP","","","","",""
"47661-52172","P","Noah","Noah Syndergaard","Syndergaard","32.65625","32","10000","NYM@WAS","NYM","WAS","IL","Elbow","","",""
"47661-79168","P","Walker","Walker Buehler","Buehler","14.5","2","10000","LOS@SDP","LOS","SDP","","","","",""
"47661-10978","P","Stephen","Stephen Strasburg","Strasburg","39.55882352941177","34","9900","NYM@WAS","WAS","NYM","DTD","Hand","","",""
"47661-52198","P","Lucas","Lucas Giolito","Giolito","19.5","2","9400","CWS@MIL","CWS","MIL","","","","Yes",""
"47661-11354","P","Lance","Lance Lynn","Lynn","50.5","2","9300","TEX@OAK","TEX","OAK","","","","Yes",""
"47661-80582","P","Brandon","Brandon Woodruff","Woodruff","41.5","2","9200","CWS@MIL","MIL","CWS","","","","Yes",""
"47661-16931","P","Yu","Yu Darvish","Darvish","33.5","2","9100","KAN@CHC","CHC","KAN","","","","",""
"47661-79224","P","Chris","Chris Paddack","Paddack","33.666666666666664","3","9100","LOS@SDP","SDP","LOS","","","","",""
"47661-52159","P","Lance","Lance McCullers Jr.","McCullers Jr.","26","2","9000","HOU@ARI","HOU","ARI","","","","",""
"47661-5522","P","Zack","Zack Greinke","Greinke","15","2","9000","HOU@ARI","HOU","ARI","","","","",""
"47661-5369","P","Jon","Jon Lester","Lester","27.5","2","8900","KAN@CHC","CHC","KAN","","","","",""
"47661-13627","P","Corey","Corey Kluber","Kluber","6","1","8900","TEX@OAK","TEX","OAK","IL","Shoulder","","",""
"47661-12481","P","Mike","Mike Minor","Minor","19","2","8700","TEX@OAK","TEX","OAK","","","","",""
"47661-52185","P","Max","Max Fried","Fried","36","2","8500","TOR@ATL","ATL","TOR","","","","Yes",""
"47661-79073","P","Mike","Mike Soroka","Soroka","17","3","8500","TOR@ATL","ATL","TOR","IL","Achilles","","",""
"47661-37014","P","Hyun Jin","Hyun Jin Ryu","Ryu","15","2","8400","TOR@ATL","TOR","ATL","","","","",""
"47661-80433","P","Dinelson","Dinelson Lamet","Lamet","37.5","2","8400","LOS@SDP","SDP","LOS","","","","Yes",""
"47661-38311","P","Ross","Ross Stripling","Stripling","34","2","8400","LOS@SDP","LOS","SDP","","","","",""
"47661-53398","P","Kyle","Kyle Hendricks","Hendricks","34","2","8300","KAN@CHC","CHC","KAN","","","","Yes",""
"47661-16957","P","Dylan","Dylan Bundy","Bundy","42.5","2","8200","LAA@SEA","LAA","SEA","","","","",""
"47661-12936","P","Kyle","Kyle Gibson","Gibson","27","1","8200","TEX@OAK","TEX","OAK","","","","",""
"47661-12934","P","Tyler","Tyler Chatwood","Chatwood","56","2","8000","KAN@CHC","CHC","KAN","","","","",""
"47661-85251","P","Zac","Zac Gallen","Gallen","35","2","8000","HOU@ARI","ARI","HOU","","","","",""
"47661-38272","P","Mike","Mike Foltynewicz","Foltynewicz","1","1","8000","TOR@ATL","ATL","TOR","","","","",""
"47661-101881","P","Merrill","Merrill Kelly","Kelly","38","2","8000","HOU@ARI","ARI","HOU","","","","",""
"47661-52174","P","Steven","Steven Matz","Matz","28","2","7900","NYM@WAS","NYM","WAS","","","","Yes",""
"47661-38101","P","Tanner","Tanner Roark","Roark","33","1","7900","TOR@ATL","TOR","ATL","","","","",""
"47661-53029","P","Robbie","Robbie Ray","Ray","17","2","7900","HOU@ARI","ARI","HOU","","","","",""
"47661-52166","P","Julio","Julio Urias","Urias","29","2","7800","LOS@SDP","LOS","SDP","","","","",""
"47661-79245","P","Sandy","Sandy Alcantara","Alcantara","48","1","7800","MIA@BAL","MIA","BAL","DTD","Illness","","",""
"47661-39041","P","Marcus","Marcus Stroman","Stroman","30.125","32","7700","NYM@WAS","NYM","WAS","IL","Calf","","",""
"47661-6311","P","Madison","Madison Bumgarner","Bumgarner","22.5","2","7700","HOU@ARI","ARI","HOU","","","","Yes",""
"47661-63781","P","Frankie","Frankie Montas","Montas","32.333333333333336","3","7700","TEX@OAK","OAK","TEX","","","","",""
"47661-37999","P","Michael","Michael Wacha","Wacha","21","2","7700","NYM@WAS","NYM","WAS","","","","",""
"47661-5525","P","Cole","Cole Hamels","Hamels","28.296296296296298","27","7700","TOR@ATL","ATL","TOR","IL","Triceps","","",""
"47661-82535","P","Kyle","Kyle Wright","Wright","13.5","2","7500","TOR@ATL","ATL","TOR","","","","",""
"47661-21099","P","Jose","Jose Quintana","Quintana","26.125","32","7500","KAN@CHC","CHC","KAN","IL","Thumb","","",""
"47661-17164","P","Matt","Matt Shoemaker","Shoemaker","31","1","7500","TOR@ATL","TOR","ATL","","","","Yes",""
"47661-52165","P","Sean","Sean Manaea","Manaea","13.5","2","7500","TEX@OAK","OAK","TEX","","","","",""
"47661-68561","P","Luke","Luke Weaver","Weaver","9.5","2","7500","HOU@ARI","ARI","HOU","","","","",""
"47661-53067","P","Chris","Chris Bassitt","Bassitt","34","2","7500","TEX@OAK","OAK","TEX","","","","",""
"47661-73880","P","German","German Marquez","Marquez","40.5","2","7400","SFG@COL","COL","SFG","","","","Yes",""
"47661-12918","P","Julio","Julio Teheran","Teheran","25.942857142857143","35","7400","LAA@SEA","LAA","SEA","IL","Not injury related","","",""
"47661-52167","P","Andrew","Andrew Heaney","Heaney","28","2","7300","LAA@SEA","LAA","SEA","","","","Yes",""
"47661-52169","P","Kohl","Kohl Stewart","Stewart","7.555555555555555","9","7300","MIA@BAL","BAL","MIA","IL","Opt out","","",""
"47661-6149","P","Jeff","Jeff Samardzija","Samardzija","2.5","2","7200","SFG@COL","SFG","COL","","","","",""
"47661-6151","P","Anibal","Anibal Sanchez","Sanchez","24","1","7200","NYM@WAS","WAS","NYM","","","","",""
"47661-82582","P","Griffin","Griffin Canning","Canning","30","2","7200","LAA@SEA","LAA","SEA","","","","",""
"47661-70634","P","Daniel","Daniel Mengden","Mengden","15","1","7200","TEX@OAK","OAK","TEX","","","","",""
"47661-102335","P","Cristian","Cristian Javier","Javier","22","2","7200","HOU@ARI","HOU","ARI","","","","Yes",""
"47661-68491","P","Reynaldo","Reynaldo Lopez","Lopez","-10","1","7100","CWS@MIL","CWS","MIL","IL","Shoulder","","","0"
"47661-68490","P","Austin","Austin Voth","Voth","15","1","7100","NYM@WAS","WAS","NYM","","","","",""
"47661-81051","P","Caleb","Caleb Smith","Smith","15","1","7100","MIA@BAL","MIA","BAL","","","","",""
"47661-23089","P","Dallas","Dallas Keuchel","Keuchel","20.5","2","7000","CWS@MIL","CWS","MIL","","","","","0"
"47661-70280","P","Andrew","Andrew Triggs","Triggs","-8","1","7000","SFG@COL","SFG","COL","","","","",""
"47661-70561","P","Alec","Alec Mills","Mills","37","2","7000","KAN@CHC","CHC","KAN","","","","",""
