"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47571-16956","P","Gerrit","Gerrit Cole","Cole","37.5","2","11000","PHI@NYY","NYY","PHI","","","","Yes",""
"47571-52859","P","Jacob","Jacob deGrom","deGrom","33.5","2","10700","NYM@ATL","NYM","ATL","","","","Yes",""
"47571-5427","P","Clayton","Clayton Kershaw","Kershaw","41","1","10100","LOS@SDP","LOS","SDP","","","","","0"
"47571-79168","P","Walker","Walker Buehler","Buehler","14","1","10000","LOS@SDP","LOS","SDP","","","","Yes",""
"47571-52172","P","Noah","Noah Syndergaard","Syndergaard","32.65625","32","10000","NYM@ATL","NYM","ATL","IL","Elbow","","","0"
"47571-53398","P","Kyle","Kyle Hendricks","Hendricks","34","2","9200","KAN@CHC","CHC","KAN","","","","","0"
"47571-80433","P","Dinelson","Dinelson Lamet","Lamet","37.5","2","9200","LOS@SDP","SDP","LOS","","","","","0"
"47571-79224","P","Chris","Chris Paddack","Paddack","33.5","2","9100","LOS@SDP","SDP","LOS","","","","Yes",""
"47571-16931","P","Yu","Yu Darvish","Darvish","33.5","2","9100","KAN@CHC","CHC","KAN","","","","","0"
"47571-21098","P","James","James Paxton","Paxton","4.5","2","9100","PHI@NYY","NYY","PHI","","","","","0"
"47571-52198","P","Lucas","Lucas Giolito","Giolito","19.5","2","9100","CWS@MIL","CWS","MIL","","","","","0"
"47571-60639","P","Jose","Jose Berrios","Berrios","13.5","2","9000","PIT@MIN","MIN","PIT","","","","","0"
"47571-60644","P","Luis","Luis Severino","Severino","29","3","9000","PHI@NYY","NYY","PHI","IL","Elbow","","","0"
"47571-5369","P","Jon","Jon Lester","Lester","27.5","2","8900","KAN@CHC","CHC","KAN","","","","","0"
"47571-80582","P","Brandon","Brandon Woodruff","Woodruff","41.5","2","8700","CWS@MIL","MIL","CWS","","","","","0"
