"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Jimmy Cordero","White Sox","0","0","0.00","1","0","0","0","0","1","0","1.2","7","1","0","0","0","0","0","1","0","0","3","15690"
"Jonathan Holder","Yankees","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","16588"
"Bryan Abreu","Astros","0","0","0.00","1","0","0","0","0","0","0","0.1","3","0","1","0","0","2","0","0","0","0","1","16609"
"Cameron Hill","Indians","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","16840"
"Austin Brice","Red Sox","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","1","0","0","1","17237"
"Diego Castillo","Rays","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","17496"
"Jimmy Herget","Rangers","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","0","17556"
"Tanner Scott","Orioles","0","0","0.00","1","0","0","0","0","1","0","0.2","3","0","0","0","0","0","0","1","0","0","2","17586"
"Ian Gibaut","Rangers","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","17871"
"Phil Maton","Indians","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","2","18064"
"Tyler Kinley","Rockies","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","18297"
"Alex Young","Diamondbacks","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","2","18333"
"Josh Staumont","Royals","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","1","0","1","18335"
"Conner Menez","Giants","1","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","1","19199"
"Caleb Ferguson","Dodgers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","1","0","0","0","0","0","0","0","0","0","19349"
"Tony Gonsolin","Dodgers","0","0","0.00","1","1","0","0","0","0","0","4.0","13","1","0","0","0","1","0","0","0","0","1","19388"
"Shaun Anderson","Giants","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","19453"
"Bryan Garcia","Tigers","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","19457"
"Geoff Hartlieb","Pirates","0","0","0.00","1","0","0","0","0","0","0","1.1","7","3","0","0","0","0","0","0","0","0","0","19558"
"Gregory Soto","Tigers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","19677"
"Brandon Bielak","Astros","1","0","0.00","1","0","0","0","0","0","0","2.0","8","0","0","0","0","3","0","0","0","0","2","19866"
"Andre Scrubb","Astros","0","0","0.00","1","0","0","0","1","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","20329"
"Tyler Zuber","Royals","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","2","20379"
"Randy Dobnak","Twins","1","0","0.00","1","1","0","0","0","0","0","5.0","19","3","0","0","0","2","0","0","0","0","4","23798"
"Jordan Montgomery","Yankees","1","0","1.59","1","1","0","0","0","0","0","5.2","22","5","1","1","1","1","0","1","0","0","4","16511"
"Logan Webb","Giants","0","0","2.45","1","1","0","0","0","0","0","3.2","20","4","2","1","1","4","0","1","0","0","4","17995"
"Spencer Turnbull","Tigers","1","0","3.00","1","1","0","0","0","0","0","6.0","22","3","2","2","0","1","0","0","0","0","6","16207"
"Zac Gallen","Diamondbacks","0","0","3.00","1","1","0","0","0","0","0","6.0","25","5","2","2","1","1","0","1","0","0","9","19291"
"Jon Gray","Rockies","0","0","3.18","1","1","0","0","0","0","0","5.2","23","4","3","2","0","1","0","0","1","0","2","14916"
"Dallas Keuchel","White Sox","1","0","3.38","1","1","0","0","0","0","0","5.1","25","7","2","2","1","1","0","0","0","0","2","9434"
"Trevor Williams","Pirates","0","1","3.86","1","1","0","0","0","0","0","4.2","21","4","3","2","1","3","0","1","0","0","6","16977"
"Alex Cobb","Orioles","0","0","4.50","1","1","0","0","0","0","0","4.0","19","4","2","2","0","3","0","0","0","0","2","6562"
"Chasen Shreve","Mets","0","0","4.50","1","0","0","0","0","0","0","2.0","8","1","1","1","0","1","0","0","0","0","5","10855"
"Ryan Thompson","Rays","0","0","4.50","1","0","0","0","0","0","0","2.0","11","4","2","1","1","0","0","0","0","0","3","16647"
"Kris Bubic","Royals","0","1","4.50","1","1","0","0","0","0","0","4.0","18","3","3","2","1","1","0","2","0","0","3","21455"
"Cam Bedrosian","Angels","0","0","5.40","1","0","0","0","0","0","0","1.2","6","1","1","1","0","0","0","0","1","0","1","13360"
"Paul Fry","Orioles","1","0","5.40","1","0","0","0","0","0","0","1.2","6","1","1","1","1","1","0","0","0","0","2","15832"
"Kyle Keller","Angels","0","0","5.40","1","0","0","0","0","0","0","1.2","9","1","1","1","0","2","0","0","1","0","0","18890"
"Enoli Paredes","Astros","0","0","5.40","1","0","0","0","0","1","0","1.2","7","1","1","1","0","2","0","0","0","0","1","20447"
"Sean Manaea","Athletics","0","1","6.23","1","1","0","0","0","0","0","4.1","19","6","5","3","0","0","0","0","0","0","4","15873"
"Garrett Richards","Padres","0","0","6.35","1","1","0","0","0","0","0","5.2","25","8","4","4","1","1","0","0","0","0","6","9784"
"Rick Porcello","Mets","0","0","6.75","1","1","0","0","0","0","0","4.0","21","5","4","3","0","3","0","0","0","0","5","2717"
"Daniel Bard","Rockies","0","0","6.75","1","0","0","0","0","0","0","1.1","6","2","1","1","0","0","0","0","0","0","1","7115"
"Peter Fairbanks","Rays","0","1","6.75","1","0","0","0","0","0","0","1.1","7","2","1","1","0","1","0","0","1","0","2","17998"
"Luis Castillo","Reds","0","1","7.50","1","1","0","0","0","0","0","6.0","26","8","5","5","0","1","0","0","0","0","6","15689"
"Ryan Weber","Red Sox","0","1","8.10","1","1","0","0","0","0","0","3.1","18","4","3","3","2","4","0","0","0","0","0","10160"
"Tyler Clippard","Twins","0","0","9.00","1","0","0","0","0","0","0","1.0","5","1","1","1","0","1","0","0","0","0","1","5640"
"Kyle Ryan","Cubs","0","0","9.00","1","0","0","0","0","0","0","1.0","4","1","1","1","0","0","0","0","0","0","0","11753"
"Mike Clevinger","Indians","0","1","9.00","1","1","0","0","0","0","0","4.0","20","6","4","4","2","5","0","0","0","0","5","12808"
"Blake Snell","Rays","0","0","9.00","1","1","0","0","0","0","0","3.0","14","4","3","3","2","0","0","0","0","0","4","13543"
"Matt Strahm","Padres","0","0","9.00","1","0","0","0","0","0","1","1.0","5","2","1","1","1","0","0","0","0","0","0","13799"
"Paul Sewald","Mets","0","0","9.00","1","0","0","0","0","0","0","1.0","5","2","1","1","0","0","0","0","0","0","0","13892"
"Lance McCullers Jr.","Astros","0","0","9.00","1","1","0","0","0","0","0","4.0","22","6","4","4","1","4","0","0","0","0","4","14120"
"Keynan Middleton","Angels","0","0","9.00","1","0","0","0","0","0","0","1.0","6","3","1","1","0","0","0","0","0","0","0","15264"
"Victor Gonzalez","Dodgers","0","0","9.00","1","0","0","0","0","0","0","1.0","7","3","1","1","0","0","0","1","0","0","1","16408"
"Raisel Iglesias","Reds","0","0","9.00","1","0","0","0","0","0","0","1.0","6","2","2","1","0","0","0","0","0","0","2","17130"
"Kevin Ginkel","Diamondbacks","0","0","9.00","1","0","0","0","0","0","0","1.0","5","2","1","1","1","0","0","0","0","0","1","19876"
"Mike Minor","Rangers","0","1","9.53","1","1","0","0","0","0","0","5.2","27","9","6","6","1","2","0","0","0","0","3","10021"
"Sean Newcomb","Braves","0","0","12.46","1","1","0","0","0","0","0","4.1","20","6","6","6","2","1","0","0","0","0","4","16943"
"Seth Lugo","Mets","0","1","13.50","1","0","0","0","0","0","1","0.2","4","1","1","1","0","1","0","0","0","0","0","12447"
"Craig Kimbrel","Cubs","0","0","18.00","1","0","0","0","0","0","0","1.0","5","2","2","2","2","0","0","0","0","0","0","6655"
"Colten Brewer","Red Sox","0","0","18.00","1","0","0","0","0","0","0","1.0","6","2","2","2","1","1","0","0","0","0","0","12997"
"Matt Andriese","Angels","0","1","21.60","1","1","0","0","0","0","0","1.2","12","4","4","4","0","3","0","1","0","0","1","12022"
"Bryan Shaw","Mariners","0","0","27.00","1","0","0","0","0","0","0","1.0","6","2","3","3","0","1","0","0","0","0","0","8110"
"Luke Farrell","Rangers","0","0","27.00","1","0","0","0","0","0","0","1.0","7","2","3","3","0","2","0","0","2","0","3","15101"
"Jhoulys Chacin","Braves","0","0","27.00","1","0","0","0","0","0","0","1.1","11","5","4","4","1","2","0","0","0","0","2","2608"
"Nik Turley","Pirates","0","0","27.00","1","0","0","0","0","0","0","0.1","4","1","1","1","0","2","0","0","0","0","1","5530"
"Kirby Yates","Padres","0","0","27.00","1","0","0","0","0","1","0","0.2","7","3","2","2","0","2","0","0","1","0","0","9073"
"Miguel Del Pozo","Pirates","0","0","27.00","1","0","0","0","0","0","0","0.2","4","1","2","2","0","1","0","0","0","0","0","18792"
"Wade Davis","Rockies","0","1","54.00","1","0","0","0","0","0","1","0.2","6","2","4","4","2","2","1","0","0","0","0","7441"
"Dellin Betances","Mets","0","0","108.00","1","0","0","0","0","0","0","0.1","5","2","4","4","0","2","0","0","1","0","1","6216"
