"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47717-82554","P","Shane","Shane Bieber","Bieber","64.66666666666667","3","11700","CIN@CLE","CLE","CIN","","","","","0"
"47717-16959","P","Trevor","Trevor Bauer","Bauer","55.5","2","11200","CIN@CLE","CIN","CLE","","","","",""
"47717-5202","P","Justin","Justin Verlander","Verlander","43","1","11200","HOU@ARI","HOU","ARI","IL","Forearm","","",""
"47717-17064","P","Sonny","Sonny Gray","Gray","54.666666666666664","3","10500","CIN@CLE","CIN","CLE","","","","",""
"47717-5427","P","Clayton","Clayton Kershaw","Kershaw","41","1","10100","LOS@SDP","LOS","SDP","","","","",""
"47717-79168","P","Walker","Walker Buehler","Buehler","14.5","2","10000","LOS@SDP","LOS","SDP","","","","",""
"47717-79162","P","Luis","Luis Castillo","Castillo","36.5","2","9900","CIN@CLE","CIN","CLE","","","","",""
"47717-70559","P","Mike","Mike Clevinger","Clevinger","26","2","9600","CIN@CLE","CLE","CIN","","","","Yes",""
"47717-16931","P","Yu","Yu Darvish","Darvish","33.5","2","9500","CHC@KAN","CHC","KAN","","","","Yes",""
"47717-6266","P","Carlos","Carlos Carrasco","Carrasco","40","2","9400","CIN@CLE","CLE","CIN","","","","","0"
"47717-52198","P","Lucas","Lucas Giolito","Giolito","29.333333333333332","3","9400","MIL@CWS","CWS","MIL","","","","",""
"47717-11354","P","Lance","Lance Lynn","Lynn","47.333333333333336","3","9300","TEX@OAK","TEX","OAK","","","","",""
"47717-80582","P","Brandon","Brandon Woodruff","Woodruff","39","3","9200","MIL@CWS","MIL","CWS","","","","",""
"47717-79224","P","Chris","Chris Paddack","Paddack","33.666666666666664","3","9100","LOS@SDP","SDP","LOS","","","","",""
"47717-16957","P","Dylan","Dylan Bundy","Bundy","42.5","2","9000","LAA@SEA","LAA","SEA","","","","",""
"47717-60639","P","Jose","Jose Berrios","Berrios","23.333333333333332","3","9000","MIN@PIT","MIN","PIT","","","","","0"
"47717-5522","P","Zack","Zack Greinke","Greinke","15","2","9000","HOU@ARI","HOU","ARI","","","","",""
"47717-5369","P","Jon","Jon Lester","Lester","27.5","2","8900","CHC@KAN","CHC","KAN","","","","",""
"47717-13627","P","Corey","Corey Kluber","Kluber","6","1","8900","TEX@OAK","TEX","OAK","IL","Shoulder","","",""
"47717-104584","P","Zach","Zach Plesac","Plesac","47.5","2","8700","CIN@CLE","CLE","CIN","","","","","0"
"47717-12481","P","Mike","Mike Minor","Minor","19","2","8700","TEX@OAK","TEX","OAK","","","","",""
"47717-38311","P","Ross","Ross Stripling","Stripling","34","2","8700","LOS@SDP","LOS","SDP","","","","Yes",""
"47717-52185","P","Max","Max Fried","Fried","35.333333333333336","3","8500","TOR@ATL","ATL","TOR","","","","","0"
"47717-79073","P","Mike","Mike Soroka","Soroka","17","3","8500","TOR@ATL","ATL","TOR","IL","Achilles","","","0"
"47717-37014","P","Hyun Jin","Hyun Jin Ryu","Ryu","15","2","8400","TOR@ATL","TOR","ATL","","","","Yes",""
"47717-80433","P","Dinelson","Dinelson Lamet","Lamet","31.666666666666668","3","8400","LOS@SDP","SDP","LOS","","","","",""
"47717-82557","P","Aaron","Aaron Civale","Civale","44.5","2","8400","CIN@CLE","CLE","CIN","","","","","0"
"47717-53398","P","Kyle","Kyle Hendricks","Hendricks","34","3","8300","CHC@KAN","CHC","KAN","","","","",""
"47717-52159","P","Lance","Lance McCullers Jr.","McCullers Jr.","26","2","8100","HOU@ARI","HOU","ARI","","","","Yes",""
"47717-12934","P","Tyler","Tyler Chatwood","Chatwood","56","2","8000","CHC@KAN","CHC","KAN","","","","",""
"47717-85251","P","Zac","Zac Gallen","Gallen","35","2","8000","HOU@ARI","ARI","HOU","","","","",""
"47717-38272","P","Mike","Mike Foltynewicz","Foltynewicz","1","1","8000","TOR@ATL","ATL","TOR","","","","","0"
