"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Adam Ottavino","Yankees","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","1247"
"Zack Britton","Yankees","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","3240"
"Matt Magill","Mariners","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","3950"
"Mark Melancon","Braves","0","0","0.00","1","0","0","0","1","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","4264"
"Jeurys Familia","Mets","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","5114"
"Pedro Baez","Dodgers","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","5420"
"Junior Guerra","Diamondbacks","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","1","0","0","0","0","0","5702"
"Sam Freeman","Nationals","0","0","0.00","1","0","0","0","0","1","0","0.2","3","1","0","0","0","0","0","0","0","0","1","6832"
"Daniel Hudson","Nationals","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","7146"
"Greg Holland","Royals","1","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","7196"
"Richard Bleier","Orioles","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","2","7803"
"Joe Kelly","Dodgers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","9761"
"Mychal Givens","Orioles","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","0","0","2","10430"
"Trevor Rosenthal","Royals","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","10745"
"Shane Greene","Braves","0","0","0.00","1","0","0","0","0","1","0","0.1","1","0","0","0","0","0","0","0","0","0","0","10756"
"Adam Kolarek","Dodgers","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","1","10843"
