"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47801-135251","P","Tommy","Tommy Eveld","Eveld","0","0","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-137296","P","Carlos","Carlos Sanabria","Sanabria","0","1","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-102484","P","Brandon","Brandon Bielak","Bielak","21.5","2","5500","HOU@ARI","HOU","ARI","","","","Yes",""
"47801-135252","P","Johan","Johan Quezada","Quezada","0","0","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-135253","P","Alex","Alex Vesia","Vesia","-1","1","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-79960","P","Paul","Paul Fry","Fry","4.25","4","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-13404","P","Anthony","Anthony Bass","Bass","4.4","5","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-102500","P","Robert","Robert Dugger","Dugger","4","1","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-135279","P","Codi","Codi Heuer","Heuer","8.5","4","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-5230","P","Joe","Joe Smith","Smith","4.714285714285714","28","5500","HOU@ARI","HOU","ARI","DTD","Personal","","","0"
"47801-116847","P","Cole","Cole Sulser","Sulser","5.25","4","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-116846","P","Ronald","Ronald Bolanos","Bolanos","1","2","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-135283","P","Ty","Ty Tice","Tice","0","0","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-85107","P","James","James Norwood","Norwood","-1.3333333333333333","3","5500","CHC@KAN","CHC","KAN","IL","Shoulder","","","0"
"47801-135280","P","Joey","Joey Murray","Murray","0","0","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-135281","P","Bryan","Bryan Baker","Baker","0","0","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-82039","P","Aaron","Aaron Wilkerson","Wilkerson","5.25","8","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-116868","P","Gabe","Gabe Speier","Speier","2.8","5","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-104582","P","Josh D.","Josh D. Smith","Smith","3.7857142857142856","14","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-73867","P","Ray","Ray Black","Black","4.411764705882353","17","5500","MIL@CWS","MIL","CWS","IL","Shoulder","","","0"
"47801-73877","P","Kevin","Kevin McCarthy","McCarthy","3","4","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-38041","P","Ryan","Ryan Pressly","Pressly","2","1","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-80035","P","Bobby","Bobby Wahl","Wahl","0.3333333333333333","3","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-12455","P","Josh","Josh Tomlin","Tomlin","12.6","5","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-135343","P","Max","Max Meyer","Meyer","0","0","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-12463","P","Greg","Greg Holland","Holland","6.333333333333333","6","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-13495","P","Rafael","Rafael Dolis","Dolis","3.75","4","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-137410","P","Humberto","Humberto Castellanos","Castellanos","3","1","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-13512","P","Rex","Rex Brothers","Brothers","6.5","2","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-83147","P","Brad","Brad Wieck","Wieck","3","1","5500","CHC@KAN","CHC","KAN","IL","Hamstring","","","0"
"47801-110823","P","Tom","Tom Eshelman","Eshelman","10","1","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-38122","P","Jake","Jake Petricka","Petricka","4","6","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-136424","P","Jake","Jake Brentz","Brentz","0","0","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-12523","P","Jeremy","Jeremy Jeffress","Jeffress","6","6","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-83181","P","Heath","Heath Fillmyer","Fillmyer","4.333333333333333","12","5500","CHC@KAN","KAN","CHC","","","","","0"
