"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Josh Donaldson","Twins","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","5038"
"Leury Garcia","White Sox","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","5913"
"Rob Refsnyder","Rangers","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","13770"
"Travis Demeritte","Tigers","1","1","1","1","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","1.000","15958"
"Robinson Cano","Mets","1","4","5","3","2","0","0","1","1","2","1","0","1","0","0","0","0","0","0",".750","3269"
"Salvador Perez","Royals","1","4","4","3","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".750","7304"
"Travis d'Arnaud","Braves","1","4","5","3","2","1","0","0","0","5","1","0","1","0","0","0","0","1","0",".750","7739"
"Anthony Santander","Orioles","1","4","4","3","2","0","0","1","1","3","0","0","1","0","0","0","0","0","0",".750","14551"
"Austin Romine","Tigers","1","3","4","2","1","1","0","0","2","2","1","0","1","0","0","0","0","0","0",".667","5491"
"Matt Adams","Braves","1","3","3","2","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0",".667","9393"
"Jason Kipnis","Cubs","1","3","4","2","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0",".667","9776"
"Darin Ruf","Giants","1","3","4","2","1","1","0","0","1","3","1","0","0","0","0","0","0","0","0",".667","9929"
"Xander Bogaerts","Red Sox","1","3","4","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".667","12161"
"Brian Goodwin","Angels","1","3","5","2","0","0","1","1","1","3","2","0","1","0","0","0","0","0","0",".667","12858"
"Chris Taylor","Dodgers","1","3","4","2","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0",".667","13757"
"Tim Anderson","White Sox","1","3","3","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".667","15172"
"Mauricio Dubon","Giants","1","3","4","2","2","0","0","0","1","1","1","0","1","0","0","0","0","0","0",".667","16530"
"Christin Stewart","Tigers","1","3","3","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".667","17714"
"David Fletcher","Angels","1","3","5","2","1","1","0","0","3","1","2","0","0","0","0","0","0","0","0",".667","17992"
"Charlie Blackmon","Rockies","1","5","5","3","2","0","0","1","2","3","0","0","1","0","0","0","0","0","0",".600","7859"
"DJ LeMahieu","Yankees","1","5","5","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".600","9874"
"Hanser Alberto","Orioles","1","5","5","3","1","1","0","1","2","1","0","0","0","0","0","0","0","1","0",".600","11902"
"Trevor Story","Rockies","1","5","5","3","2","0","0","1","2","1","0","0","0","0","0","0","0","0","0",".600","12564"
"Mookie Betts","Dodgers","1","5","5","3","1","1","0","1","1","2","0","0","1","0","0","0","0","0","0",".600","13611"
"Kyle Tucker","Astros","1","5","5","3","2","1","0","0","2","4","0","0","0","0","0","0","0","1","0",".600","18345"
"David Peralta","Diamondbacks","1","4","4","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","2136"
"Jason Heyward","Cubs","1","4","4","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0",".500","4940"
"Matt Kemp","Rockies","1","2","2","1","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0",".500","5631"
"Alex Avila","Twins","1","2","4","1","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0",".500","7476"
"Brett Gardner","Yankees","1","2","4","1","0","0","0","1","1","2","2","0","0","0","0","0","0","0","0",".500","9927"
"Cesar Hernandez","Indians","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","10556"
"Giovanny Urshela","Yankees","1","4","4","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".500","10681"
"Kole Calhoun","Diamondbacks","1","2","4","1","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0",".500","11200"
"Jonathan Schoop","Tigers","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","11265"
"Eddie Rosario","Twins","1","4","4","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0",".500","12155"
"George Springer","Astros","1","4","6","2","2","0","0","0","0","2","1","0","0","0","1","0","0","0","0",".500","12856"
"Jorge Polanco","Twins","1","4","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","13152"
"Christian Walker","Diamondbacks","1","4","4","2","1","1","0","0","1","3","0","0","0","0","0","0","0","0","0",".500","13419"
"Ketel Marte","Diamondbacks","1","4","4","2","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0",".500","13613"
"Carson Kelly","Diamondbacks","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".500","13620"
"Corey Seager","Dodgers","1","4","4","2","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".500","13624"
"Rio Ruiz","Orioles","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","14103"
"Jorge Soler","Royals","1","2","4","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0",".500","14221"
"Renato Nunez","Orioles","1","4","5","2","1","1","0","0","2","0","1","0","0","0","0","0","0","0","0",".500","14503"
"Pedro Severino","Orioles","1","4","4","2","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0",".500","14523"
"JaCoby Jones","Tigers","1","4","4","2","1","1","0","0","0","1","0","0","2","0","0","0","0","0","0",".500","14818"
"Ryan McMahon","Rockies","1","4","5","2","2","0","0","0","1","1","1","0","1","0","0","0","0","0","0",".500","15112"
"J.P. Crawford","Mariners","1","4","4","2","2","0","0","0","2","0","0","0","1","0","0","0","1","0","0",".500","15491"
"J.D. Davis","Mets","1","4","4","2","1","0","0","1","1","3","0","0","2","0","0","0","0","0","0",".500","16219"
"Francisco Mejia","Padres","1","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","16403"
"Ryan McBroom","Royals","1","4","4","2","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0",".500","16524"
"Colin Moran","Pirates","1","4","4","2","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".500","16909"
"Chad Tromp","Giants","1","4","4","2","1","1","0","0","2","1","0","0","1","0","0","0","1","0","0",".500","16953"
"Gleyber Torres","Yankees","1","4","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","16997"
"Myles Straw","Astros","1","2","2","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","17620"
"Ian Happ","Cubs","1","4","4","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","17919"
"Jake Cronenworth","Padres","1","4","4","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0",".500","18036"
"Dansby Swanson","Braves","1","4","5","2","1","1","0","0","2","2","1","0","1","0","0","0","0","1","0",".500","18314"
"Edwin Rios","Dodgers","1","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","18316"
"Yuli Gurriel","Astros","1","4","5","2","2","0","0","0","2","1","0","0","0","0","1","0","0","0","0",".500","19198"
