"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47218-16956","P","Gerrit","Gerrit Cole","Cole","33","1","11400","NYY@WAS","NYY","WAS","","","","","0"
"47218-5481","P","Max","Max Scherzer","Scherzer","37","1","10700","NYY@WAS","WAS","NYY","","","","","0"
"47218-13664","P","Patrick","Patrick Corbin","Corbin","38.81818181818182","33","9900","NYY@WAS","WAS","NYY","","","","","0"
"47218-10978","P","Stephen","Stephen Strasburg","Strasburg","39.55882352941177","34","9900","NYY@WAS","WAS","NYY","DTD","Hand","","","0"
"47218-6311","P","Madison","Madison Bumgarner","Bumgarner","20","1","9000","ARI@SDP","ARI","SDP","","","","","0"
"47218-60644","P","Luis","Luis Severino","Severino","29","3","9000","NYY@WAS","NYY","WAS","IL","Elbow","","","0"
"47218-79224","P","Chris","Chris Paddack","Paddack","40","1","8900","ARI@SDP","SDP","ARI","","","","","0"
"47218-21098","P","James","James Paxton","Paxton","33.10344827586207","29","8700","NYY@WAS","NYY","WAS","","","","Yes",""
"47218-53029","P","Robbie","Robbie Ray","Ray","32.11764705882353","34","8400","ARI@SDP","ARI","SDP","","","","Yes",""
"47218-52268","P","Masahiro","Masahiro Tanaka","Tanaka","26.53125","32","8400","NYY@WAS","NYY","WAS","IL","Concussion","","","0"
"47218-85251","P","Zac","Zac Gallen","Gallen","32.733333333333334","15","8000","ARI@SDP","ARI","SDP","","","","","0"
"47218-80433","P","Dinelson","Dinelson Lamet","Lamet","33.5","14","8000","ARI@SDP","SDP","ARI","","","","Yes",""
"47218-68561","P","Luke","Luke Weaver","Weaver","29.615384615384617","13","7700","ARI@SDP","ARI","SDP","","","","","0"
"47218-82636","P","Joey","Joey Lucchesi","Lucchesi","28.033333333333335","30","7300","ARI@SDP","SDP","ARI","","","","","0"
"47218-5767","P","J.A.","J.A. Happ","Happ","23.25","32","7000","NYY@WAS","NYY","WAS","","","","","0"
"47218-79853","P","Jordan","Jordan Montgomery","Montgomery","9","2","6600","NYY@WAS","NYY","WAS","","","","","0"
"47218-13019","P","Garrett","Garrett Richards","Richards","11.666666666666666","3","6300","ARI@SDP","SDP","ARI","","","","","0"
"47218-6151","P","Anibal","Anibal Sanchez","Sanchez","26.833333333333332","30","6200","NYY@WAS","WAS","NYY","","","","","0"
"47218-101881","P","Merrill","Merrill Kelly","Kelly","27.875","32","6100","ARI@SDP","ARI","SDP","","","","","0"
"47218-72265","P","Matt","Matt Strahm","Strahm","12.297872340425531","47","6000","ARI@SDP","SDP","ARI","","","","","0"
"47218-83163","P","Jonathan","Jonathan Loaisiga","Loaisiga","11.333333333333334","15","6000","NYY@WAS","NYY","WAS","","","","","0"
"47218-68490","P","Austin","Austin Voth","Voth","26.555555555555557","9","5900","NYY@WAS","WAS","NYY","","","","","0"
"47218-13438","P","Drew","Drew Pomeranz","Pomeranz","9","1","5800","ARI@SDP","SDP","ARI","","","","","0"
"47218-39127","P","Jerad","Jerad Eickhoff","Eickhoff","20.583333333333332","12","5800","ARI@SDP","SDP","ARI","","","","","0"
"47218-79228","P","Cal","Cal Quantrill","Quantrill","19.608695652173914","23","5700","ARI@SDP","SDP","ARI","","","","","0"
"47218-79067","P","Alex","Alex Young","Young","25.058823529411764","17","5700","ARI@SDP","ARI","SDP","","","","","0"
"47218-102334","P","Corbin","Corbin Martin","Martin","17","5","5600","ARI@SDP","ARI","SDP","IL","Elbow","","","0"
"47218-68564","P","Erick","Erick Fedde","Fedde","13.333333333333334","21","5600","NYY@WAS","WAS","NYY","","","","Yes",""
"47218-79071","P","Taylor","Taylor Clarke","Clarke","15.217391304347826","23","5600","ARI@SDP","ARI","SDP","","","","","0"
"47218-53001","P","Roenis","Roenis Elias","Elias","5.1875","48","5500","NYY@WAS","WAS","NYY","IL","Undisclosed","","","0"
"47218-72971","P","Ben","Ben Heller","Heller","7.666666666666667","6","5500","NYY@WAS","NYY","WAS","","","","","0"
"47218-85517","P","Trey","Trey Wingenter","Wingenter","5.470588235294118","51","5500","ARI@SDP","SDP","ARI","IL","Elbow","","","0"
"47218-85265","P","Taylor","Taylor Widener","Widener","0","0","5500","ARI@SDP","ARI","SDP","","","","","0"
"47218-85530","P","Jacob","Jacob Nix","Nix","0","0","5500","ARI@SDP","SDP","ARI","","","","","0"
"47218-95773","P","Austen","Austen Williams","Williams","-7","2","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-82974","P","Tanner","Tanner Rainey","Rainey","6.076923076923077","52","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-85282","P","Brett","Brett Kennedy","Kennedy","0","0","5500","ARI@SDP","SDP","ARI","DTD","Lat","","","0"
"47218-68653","P","Luis","Luis Cessa","Cessa","8.581395348837209","43","5500","NYY@WAS","NYY","WAS","IL","Not injury related","","","0"
"47218-12848","P","Hector","Hector Rondon","Rondon","4.338709677419355","62","5500","ARI@SDP","ARI","SDP","","","","","0"
"47218-135222","P","Dakota","Dakota Bacus","Bacus","0","0","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-79927","P","Stefan","Stefan Crichton","Crichton","4","1","5500","ARI@SDP","ARI","SDP","","","","","0"
"47218-135220","P","Nick","Nick Wells","Wells","0","0","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-68662","P","Luis","Luis Perdomo","Perdomo","6.319148936170213","47","5500","ARI@SDP","SDP","ARI","","","","","0"
"47218-135221","P","Cade","Cade Cavalli","Cavalli","0","0","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-135225","P","Steven","Steven Fuentes","Fuentes","0","0","5500","NYY@WAS","WAS","NYY","NA","Suspension","","","0"
"47218-12860","P","Zack","Zack Britton","Britton","4.878787878787879","66","5500","NYY@WAS","NYY","WAS","","","","","0"
"47218-11325","P","Sean","Sean Doolittle","Doolittle","5.285714285714286","63","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-38217","P","Tommy","Tommy Kahnle","Kahnle","5.430555555555555","72","5500","NYY@WAS","NYY","WAS","","","","","0"
"47218-23626","P","Will","Will Harris","Harris","5.294117647058823","68","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-80461","P","Ryne","Ryne Harper","Harper","4.39344262295082","61","5500","NYY@WAS","WAS","NYY","","","","","0"
"47218-11108","P","Aroldis","Aroldis Chapman","Chapman","6.7","60","5500","NYY@WAS","NYY","WAS","IL","Illness","","","0"
"47218-116839","P","David","David Bednar","Bednar","3.923076923076923","13","5500","ARI@SDP","SDP","ARI","","","","","0"
"47218-118381","P","Kyle","Kyle Finnegan","Finnegan","0","0","5500","NYY@WAS","WAS","NYY","","","","","0"
